channel,error,precision,recall,f1,tp,tn,fp,fn,context_ood_rate_window,context_ood_rate_point,score_mode,elapsed_seconds
D-3,,0.9223799456357595,0.9325190839694657,0.9274218038262982,3054.0,4824.0,257.0,221.0,0.9932861767174199,1.0,counterfactual_successor_memory,136.7515938282013
D-4,,0.8959713024282561,1.0,0.9451317129966526,3247.0,4565.0,377.0,0.0,0.5683875703449963,0.6450116009280742,counterfactual_successor_memory,127.74275326728821
D-5,,0.021456436931079324,0.66,0.041561712846347604,33.0,5789.0,1505.0,17.0,1.0,1.0,counterfactual_successor_memory,81.32926821708679
D-6,,0.734375,0.5875,0.6527777777777778,47.0,7503.0,17.0,33.0,1.0,1.0,counterfactual_successor_memory,61.91407251358032
D-7,,1.0,0.0273972602739726,0.05333333333333334,74.0,4657.0,0.0,2627.0,0.0,0.0,counterfactual_successor_memory,99.74694156646729
D-8,,0.9047619047619048,0.76,0.8260869565217391,38.0,7536.0,4.0,12.0,0.0,0.0,counterfactual_successor_memory,62.37408399581909
D-9,,0.9911504424778761,0.09696969696969697,0.17665615141955837,112.0,5966.0,1.0,1043.0,0.0,0.0,counterfactual_successor_memory,98.64161086082458
E-1,,1.0,0.4723320158102767,0.6416107382550336,239.0,7726.0,0.0,267.0,0.05671169526591213,0.23663751214771622,counterfactual_successor_memory,68.29951357841492
E-10,,0.9471544715447154,0.728125,0.823321554770318,233.0,7888.0,13.0,87.0,0.10272970996831586,0.20240846612334265,counterfactual_successor_memory,110.54648041725159
E-11,,0.9112903225806451,0.7713310580204779,0.8354898336414048,226.0,7915.0,22.0,67.0,0.0923919659160073,0.30534629404617253,counterfactual_successor_memory,76.68472099304199
E-12,,0.1986842105263158,0.5197934595524957,0.2874821513564969,302.0,6429.0,1218.0,279.0,0.03725800560087666,0.22119591638308217,counterfactual_successor_memory,69.44050025939941
E-13,,0.10537870472008781,0.367816091954023,0.16382252559726962,96.0,7280.0,815.0,165.0,0.17419973624265675,0.4932982288176161,counterfactual_successor_memory,69.1680235862732
E-2,,1.0,0.026485325697924122,0.05160390516039052,37.0,6851.0,0.0,1360.0,0.9699987853759261,1.0,counterfactual_successor_memory,68.91171431541443
E-3,,0.8811659192825112,0.48941469489414696,0.6293034427542034,1572.0,4599.0,212.0,1640.0,0.4639110889110889,0.6326810420042378,counterfactual_successor_memory,111.86016726493835
E-4,,1.0,0.003913198150124511,0.007795889440113395,11.0,5259.0,0.0,2800.0,0.7630043451272501,0.9866171003717472,counterfactual_successor_memory,69.84738993644714
